id,type,pollster,date,sampleSize,marginError,link,spread_winner,spread_value,trump_value,harris_value,name,slug,polling_start_date,polling_end_date
148403,poll_rcp_avg,Data Orbital,10/26 - 10/28,550 LV,4.3,https://dataorbital.com/2024/10/new-data-orbital-arizona-2024-general-election-statewide-poll/,Trump,8.0,50,42,2024 Arizona: Trump vs. Harris,arizona,2024-10-26,2024-10-28
148348,poll_rcp_avg,Trafalgar Group (R),10/24 - 10/26,1094 LV,2.9,https://www.thetrafalgargroup.org/wp-content/uploads/2024/10/AZ-24-General-1027_Report.pdf,Trump,2.0,48,46,2024 Arizona: Trump vs. Harris,arizona,2024-10-24,2024-10-26
148722,poll_rcp_avg,Morning Consult,10/20 - 10/29, LV,0.0,https://x.com/cameron_easley/status/1852925147327393967,Tie,0.0,48,48,2024 Arizona: Trump vs. Harris,arizona,2024-10-20,2024-10-29
148394,poll_rcp_avg,CNN*,10/21 - 10/26,781 LV,4.4,https://www.cnn.com/2024/10/29/politics/cnn-polls-arizona-nevada-trump-harris/index.html,Harris,1.0,47,48,2024 Arizona: Trump vs. Harris,arizona,2024-10-21,2024-10-26
148281,poll_rcp_avg,Marist,10/17 - 10/22,1193 LV,3.7,https://maristpoll.marist.edu/polls/marist-arizona-poll-u-s-presidential-contest-in-arizona-october-2024/,Trump,1.0,50,49,2024 Arizona: Trump vs. Harris,arizona,2024-10-17,2024-10-22
148173,poll,InsiderAdvantage,10/20 - 10/21,800 LV,3.0,https://insideradvantage.com/insideradvantage-surveys-trump-leads-by-three-points-in-arizona-nevada-is-tied/,Trump,3.0,50,47,2024 Arizona: Trump vs. Harris,arizona,2024-10-20,2024-10-21
148261,poll,Bloomberg,10/16 - 10/20,915 LV,3.0,https://pro-assets.morningconsult.com/wp-uploads/2024/10/Bloomberg-Swing-States-Wave-13.pdf,Tie,0.0,49,49,2024 Arizona: Trump vs. Harris,arizona,2024-10-16,2024-10-20
148131,poll,Atlas Intel,10/12 - 10/17,1440 LV,3.0,https://www.realclearpolitics.com/docs/2024/Atlas-Poll-US-Swing-States-Oct-17-Arizona.pdf,Tie,0.0,49,49,2024 Arizona: Trump vs. Harris,arizona,2024-10-12,2024-10-17
148083,poll,CBS News,10/11 - 10/16,1435 LV,3.3,https://www.cbsnews.com/news/trump-harris-poll-arizona-10-17-2024/,Trump,3.0,51,48,2024 Arizona: Trump vs. Harris,arizona,2024-10-11,2024-10-16
147968,poll,Trafalgar Group (R),10/10 - 10/13,1090 LV,2.9,https://www.thetrafalgargroup.org/wp-content/uploads/2024/10/AZ-24-General-1014_Report.pdf,Trump,2.0,48,46,2024 Arizona: Trump vs. Harris,arizona,2024-10-10,2024-10-13
147917,poll,NY Times/Siena,10/7 - 10/10,808 LV,4.0,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-poll-arizona-crosstabs.html,Trump,5.0,51,46,2024 Arizona: Trump vs. Harris,arizona,2024-10-07,2024-10-10
147861,poll,The Hill/Emerson,10/5 - 10/8,1000 LV,3.0,https://emersoncollegepolling.com/october-2024-state-polls-mixed-movement-across-swing-states-shows-dead-heat/,Trump,2.0,49,47,2024 Arizona: Trump vs. Harris,arizona,2024-10-05,2024-10-08
